id,author,type,topic,content,video,videolink,communities,tags,imgname1,caption1,link1,imgname2,caption2,link2,color,colorcode
15,RJO,paragraph,Relief efforts,"The nature of the care chatline has changed over the lockdown, so during the whole time we were providing help for women, especially handholding around abortion and reproductive health questions. We also organised pad distribution because it was becoming tough at some point for people to have access to some basic services.",no,no,women,health,no,no,no,no,no,no,brown,#933f3f
16,SDP,paragraph,Relief efforts,"During the lockdown, SDP has raised money nearly 20 lakhs through crowdfunding for providing ration kits to sexual minorities and sex workers and we approached some other funders also. We constantly provided three months dry ration kit to across Karnataka, to around 7000 people - female sex workers and sexual minorities are our beneficiaries. ",no,no,"sex workers, sexual minorities",relief efforts,img-sexworkers-1,Ration being distributed to sex workers,https://www.newindianexpress.com/states/karnataka/2020/jul/08/dosas-fish-flowers-sex-workers-look-to-other-means-of-livelihood-amid-covid-19-pandemic-2167105.html,no,no,no,green,#7dba47
17,SDP,image1,Relief efforts,"During the lockdown, SDP has raised money nearly 20 lakhs through crowdfunding for providing ration kits to sexual minorities and sex workers and we approached some other funders also. We constantly provided three months dry ration kit to across Karnataka, to around 7000 people - female sex workers and sexual minorities are our beneficiaries. ",no,no,"sex workers, sexual minorities",relief efforts,img-sexworkers-1,Ration being distributed to sex workers,https://www.newindianexpress.com/states/karnataka/2020/jul/08/dosas-fish-flowers-sex-workers-look-to-other-means-of-livelihood-amid-covid-19-pandemic-2167105.html,no,no,no,green,#7dba47
21,KOL,paragraph,Covid-19 technologies,"The fact that you have a lot of big tech companies supplementing roles so online education became this huge thing, because of the shift that happened overnight because the circumstances demanded it. You suddenly have this situation where it became so much easier for Microsoft and Google and Byjus and all of these outfits to start pushing that and these have long term impacts -  in that the problem is not online education - certainly not and i’m not an anti technologist or anything like that - it’s about the fact that you end up privatising the solutions.",no,no,schoolchildren,"surveillance, technosolutionism",no,no,no,no,no,no,pink,#ea62d8
22,KOL,pullquote,Shortcomings of smart city policies,"There’s a difference between going after the fads of smart city and actually getting into the task of how do we address, how do we look for a role for data justice. If you think about a smart city it’s a way of integrating technology and democratising it for public good - that’s the intent and it’s not just the fancy techno solutionistic project. I think there are more important things to do, like how do we align the goals of participatory governance with questions of data justice, and like how can technologists play a role in that.",no,no,general,"data, technosolutionism",no,no,no,no,no,no,pink,#ea62d8
23,KOL,paragraph,Shortcomings of smart city policies,"They become these endeavours of efficiency enhancement like energy grids, and all these fancy street lights that turn on and off or smart water meters -- if you think about Smart cities in the way that they usually get conceived I think that there is a lot of focus on the wrong things and that focus on the wrong things is indicative of who they are meant to serve",no,no,general,"data, technosolutionism",no,no,no,no,no,no,pink,#ea62d8
24,LF,paragraph,Misinformation around Covid,"This entire social media thing happened where we thought we should do something, and we should share the stories with our partners - we also made sure that because there was a lot of misinformation about Covid, with a certain community being blamed, and a lot of myths around where it comes from. All of this is prevalent not just among communities that are that do not have that kind of education, but also very well educated people, so in our communication and we have been making efforts to share simple posters and videos about Covid to sort of bust that misinformation, so we are using technology for that as well.",no,no,religious community,"discrimination, misinformation",img-religiouscommunity-1,Official twitter handle of Zee Uttar Pradesh Uttarakhand caught propagating misinformation,http://www.jantakareporter.com/entertainment/zee-news-caught-spreading-fake-news-on-stone-pelting-by-tablighi-jamaat-members-forced-to-delete-tweet-after-warning-from-firozabad-police-in-uttar-pradesh/286910/,img-religiouscommunity-2,Men wearing protective masks wait for a bus that will take them to a quarantine facility,https://widerimage.reuters.com/photographer/adnan-abidi,cyan,#23d7eb
25,LF,image1,Misinformation around Covid,"This entire social media thing happened where we thought we should do something, and we should share the stories with our partners - we also made sure that because there was a lot of misinformation about Covid, with a certain community being blamed, and a lot of myths around where it comes from. All of this is prevalent not just among communities that are that do not have that kind of education, but also very well educated people, so in our communication and we have been making efforts to share simple posters and videos about Covid to sort of bust that misinformation, so we are using technology for that as well.",no,no,religious community,"discrimination, misinformation",img-religiouscommunity-1,Official twitter handle of Zee Uttar Pradesh Uttarakhand caught propagating misinformation,http://www.jantakareporter.com/entertainment/zee-news-caught-spreading-fake-news-on-stone-pelting-by-tablighi-jamaat-members-forced-to-delete-tweet-after-warning-from-firozabad-police-in-uttar-pradesh/286910/,img-religiouscommunity-2,Men wearing protective masks wait for a bus that will take them to a quarantine facility,https://widerimage.reuters.com/photographer/adnan-abidi,cyan,#23d7eb
26,LF,image2,Misinformation around Covid,"This entire social media thing happened where we thought we should do something, and we should share the stories with our partners - we also made sure that because there was a lot of misinformation about Covid, with a certain community being blamed, and a lot of myths around where it comes from. All of this is prevalent not just among communities that are that do not have that kind of education, but also very well educated people, so in our communication and we have been making efforts to share simple posters and videos about Covid to sort of bust that misinformation, so we are using technology for that as well.",no,no,religious community,"discrimination, misinformation",img-religiouscommunity-1,no,no,img-religiouscommunity-2,Men wearing protective masks wait for a bus that will take them to a quarantine facility,https://widerimage.reuters.com/photographer/adnan-abidi,cyan,#23d7eb
27,LF,pullquote,Relief efforts,"In a very timely manner, this just happened coincidentally: we launched a telephonic free multilingual queer friendly helpline pan India helpline, which primarily we started for gender sexual minorities. but during the Covid lock down we opened it for anybody who needed help because mental health problems increased and it was a really difficult time.",no,no,sexual minorities,"relief efforts, health",no,no,no,no,no,no,cyan,#23d7eb
28,LF,paragraph,"
Mobility challenges created by the lockdown","Some of our CBO partners like the CBO leader and couple of volunteers they were stopped by uniform police officers officials saying that you cannot go and distribute do you have a pass obviously and they’ve not gone for the distribution. For the first time the vehicle has a pass, the vehicle driver knows everything, and they’ve been stopped and told go walking and only one person can go -  even three persons cannot lift a 25 KG bag of rice! We will be taking so many kits for relief operations and believe me, they traumatised them so much. Even today if I ask that person, what’s your lockdown experience -  she will repeat this to me for the 10th time, because it was their risking their lives, their health and they’re not violating any rules, any precautions, or anything like that. In a couple of places, they were detained when they were returning because some of them, only a few of them per talukor per district had Permission so they will travel sometimes 200 km and 46° heat and return by 12. Once an auto was detained after returning from distribution because that auto driver supported our community people, he is at risk and nobody to help, so volunteers had to go all the way go back to the police station to get him released. This happened and in one or two of the cases, a community member was detained at the police station for 3-4 hours a- ll this would happen only when they are returning when it’s done, when it’s dark, and fewer people can come and support.",no,no,sexual minorities,discrimination,no,no,no,no,no,no,cyan,#23d7eb
29,LL,paragraph,Relief efforts,"Even in the beginning, we said it to the women (domestic workers) also that for the first month or two months, we were only working for the migrants because that was the biggest priority - and this we explained to the women, that is why I am hopeful women understood that although they were also in a similar situation - but I was making this difference between locals and migrants because migrants have also because got that extra vulnerability and insecurity. Also because of the fact that they do not have any identification is with them, which the state makes big noise about so nothing was universal in that sense na? So they had to have Aadhaar card and IDs in order to get rations, so we did that extra work for migrants - you saw the long marches and the entire suffering. And we had a helpline and we had a network of they would  call up and up and keep crying “Aaj khana nahi hai, hum ko pahucha do” (we have no food today, please can you get some food to us).",no,no,"migrants, domestic workers",relief efforts,img-wastepickers-2,Relief distribution,https://wastenarratives.com/2020/05/21/lockdown-diaries-relief-to-the-waste-pickers-in-the-times-of-the-pandemic/,img-migrants-2,Migrants labourers heading home,https://www.wsj.com/articles/indias-migrant-laborers-begin-heading-home-as-coronavirus-lockdown-eases-11589196559,red,#ef1a4c
30,LL,image1,Relief efforts,"Even in the beginning, we said it to the women (domestic workers) also that for the first month or two months, we were only working for the migrants because that was the biggest priority - and this we explained to the women, that is why I am hopeful women understood that although they were also in a similar situation - but I was making this difference between locals and migrants because migrants have also because got that extra vulnerability and insecurity. Also because of the fact that they do not have any identification is with them, which the state makes big noise about so nothing was universal in that sense na? So they had to have Aadhaar card and IDs in order to get rations, so we did that extra work for migrants - you saw the long marches and the entire suffering. And we had a helpline and we had a network of they would  call up and up and keep crying “Aaj khana nahi hai, hum ko pahucha do” (we have no food today, please can you get some food to us).",no,no,"migrants, domestic workers",relief efforts,img-wastepickers-2,Relief distribution,https://wastenarratives.com/2020/05/21/lockdown-diaries-relief-to-the-waste-pickers-in-the-times-of-the-pandemic/,img-migrants-2,Migrants labourers heading home,https://www.wsj.com/articles/indias-migrant-laborers-begin-heading-home-as-coronavirus-lockdown-eases-11589196559,red,#ef1a4c
31,LL,image2,Relief efforts,"Even in the beginning, we said it to the women (domestic workers) also that for the first month or two months, we were only working for the migrants because that was the biggest priority - and this we explained to the women, that is why I am hopeful women understood that although they were also in a similar situation - but I was making this difference between locals and migrants because migrants have also because got that extra vulnerability and insecurity. Also because of the fact that they do not have any identification is with them, which the state makes big noise about so nothing was universal in that sense na? So they had to have Aadhaar card and IDs in order to get rations, so we did that extra work for migrants - you saw the long marches and the entire suffering. And we had a helpline and we had a network of they would  call up and up and keep crying “Aaj khana nahi hai, hum ko pahucha do” (we have no food today, please can you get some food to us).",no,no,"migrants, domestic workers",relief efforts,img-wastepickers-2,Relief distribution,https://wastenarratives.com/2020/05/21/lockdown-diaries-relief-to-the-waste-pickers-in-the-times-of-the-pandemic/,img-migrants-2,Migrants labourers heading home,https://www.wsj.com/articles/indias-migrant-laborers-begin-heading-home-as-coronavirus-lockdown-eases-11589196559,red,#ef1a4c
32,SP,paragraph,Relief efforts,"The Shramik train was a very big operation - they wouldn’t announce when the trains would arrive so then you have to keep tracking so somebody is checking - and then we had to tell people they’re all supposed to wait by the police station. Cooked food operations were another big thing as fifty meals are needed at the police station now, so we are seeing who’s got 50 meals please rush to so-and-so place! 
The government making people buy tickets, how shameless the government is for charging! All this was going on you know on at the back-end and then finally to reach people, last minute: somebody will go to the police station and packing food and feeding the shramiks. We were packing the chips for travel because on the Shramik trains there were no catering facilities because there were no regular stations, so everyone had to be given dry food to be eaten on the train.",no,no,migrants,"relief efforts, government apathy",img-migrants-3,Migrant workers boarding the Shramik trains,https://www.rediff.com/news/report/railways-asks-people-with-health-conditions-to-avoid-shramik-trains/20200529.htm,img-migrants-4,Migrants labourers at a railway station,http://www.apimages.com/Home,yellow,#eacb4f
33,SP,image1,Relief efforts,"The Shramik train was a very big operation - they wouldn’t announce when the trains would arrive so then you have to keep tracking so somebody is checking - and then we had to tell people they’re all supposed to wait by the police station. Cooked food operations were another big thing as fifty meals are needed at the police station now, so we are seeing who’s got 50 meals please rush to so-and-so place! 
The government making people buy tickets, how shameless the government is for charging! All this was going on you know on at the back-end and then finally to reach people, last minute: somebody will go to the police station and packing food and feeding the shramiks. We were packing the chips for travel because on the Shramik trains there were no catering facilities because there were no regular stations, so everyone had to be given dry food to be eaten on the train.",no,no,migrants,"relief efforts, government apathy",img-migrants-3,Migrant workers boarding the Shramik trains,https://www.rediff.com/news/report/railways-asks-people-with-health-conditions-to-avoid-shramik-trains/20200529.htm,img-migrants-4,Migrants labourers at a railway station,http://www.apimages.com/Home,yellow,#eacb4f
34,SP,image2,Relief efforts,"The Shramik train was a very big operation - they wouldn’t announce when the trains would arrive so then you have to keep tracking so somebody is checking - and then we had to tell people they’re all supposed to wait by the police station. Cooked food operations were another big thing as fifty meals are needed at the police station now, so we are seeing who’s got 50 meals please rush to so-and-so place! 
The government making people buy tickets, how shameless the government is for charging! All this was going on you know on at the back-end and then finally to reach people, last minute: somebody will go to the police station and packing food and feeding the shramiks. We were packing the chips for travel because on the Shramik trains there were no catering facilities because there were no regular stations, so everyone had to be given dry food to be eaten on the train.",no,no,migrants,"relief efforts, government apathy",img-migrants-3,Migrant workers boarding the Shramik trains,https://www.rediff.com/news/report/railways-asks-people-with-health-conditions-to-avoid-shramik-trains/20200529.htm,img-migrants-4,Migrants labourers at a railway station,http://www.apimages.com/Home,yellow,#eacb4f
35,SP,paragraph,Perspectives on the government response,"The first thing is how they think about food relief. For them the only thing they think of when they think of food relief is rice: nobody talks about oil, and salt, and dal - but food cannot be just boiled rice no? (Covid) is a disease that affects immunity, people are not going out, they were not working, they were not active, and under such circumstances the only defence for healthy people is to keep up your immunity and to eat well, and even markets are not functioning properly? The government should talk about giving a proper package. Like the one happening in Kerala giving you know a package with 21 items, including vegetables.",no,no,general,government apathy,no,no,no,no,no,no,yellow,#eacb4f
36,LF,pullquote,Collaborating with community based organisations (CBOs),"It’s usually our CBO partners and fellows who are a main point person, who know the realities better - so we would get the money, we were basically the the intermediaries - and we left it to them to decide how many people they wanted to support in their district/community/area. We rely heavily on our CBO partners because something that you must have understood from your interviews, is that these are our partners and we come from an understanding that these are the people who have the best experts of their reality. So what LF does is to have a mutual exchange of knowledge so, for example, while coordinating we tell them that this is how much funding we can provide and you decide who to give or not to give because that’s not our decision to make, and can only be made by somebody who is working on the ground with the communities.",no,no,community based organisations,relief efforts,no,no,no,no,no,no,cyan,#23d7eb
37,LF,paragraph,Use of technology,"I remember one anecdote: this person wanted to transfer money to somebody who really needed it so one of us said that why don’t you use Google Pay? That person said “oh, but I don’t know Google Pay!” So during our calls we give a lot of people this knowledge of how to use certain applications. During the lock down, so one can even use WhatsApp voice message to send us stuff, or how to do video calls if you can’t use Zoom then use WhatsApp to do a video call with us, so to share what is happening, send a voice message to us if one of us does not pick up, so that was something we did in order to cope in terms of digital technology.",no,no,general,digital literacy,no,no,no,no,no,no,cyan,#23d7eb
38,SP,paragraph,Use of technology,"A very important WhatsApp group which was there to reach out to for the migrants 2 or 3 large networks so there are some people who were raising funds, People were locating going and physically because you know even to go and give food was a challenge people were not allowed to move around he had to have certifications and all that and so then there is also the question of so there was raising fund there was finding need there is reaching it and coordinating that on WhatsApp so there is a dashboard that somebody started and I was a regular contributor on the dashboard in terms of information and and sharing all that so that went on during the most intense period I was there maybe about 8 to 10 hours a day ",no,no,migrants,"relief efforts, data",img-migrants-5,A student using online resources to study from home.,https://scroll.in/article/973138/indian-public-schools-failed-to-provide-education-during-lockdown-say-80-parents-in-a-new-survey,no,no,no,yellow,#eacb4f
